TID:PRODUCTS
TID1:MILK,BREAD,BISCUIT
TID2:BREAD,MILK,BISCUIT,CORNFLAKES
TID3:BREAD,TEA,BOURNVITA
TID4:JAM,MAGGI,BREAD,MILK
TID5:MAGGI,TEA,BISCUIT
TID6:BREAD,TEA,BOURNVITA
TID7:MAGGI,TEA,CORNFLAKES
TID8:MAGGI,BREAD,TEA,BISCUIT
TID9:JAM,MAGGI,BREAD,TEA
TID10:BREAD,MILK
TID11:COFFEE,COCK,BISCUIT,CORNFLAKES
TID12:COFFEE,COCK,BISCUIT,CORNFLAKES
TID13:COFFEE,SUGER,BOURNVITA
TID14:BREAD,COFFEE,COCK
TID15:READ,SUGER,BISCUIT
TID16:COFFEE,SUGER,CORNFLAKES
TID17:BREAD,SUGER,BOURNVITA
TID18:BREAD,COFFEE,SUGER
TID19:BREAD,COFFEE,SUGER
TID20:TEA,MILK,COFFEE,CORNFLAKES
